Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Allegany County Mental Health Association,Youth Compeer Program,Children Adolescents,(585)593-1991,(585)593-1991,45 North Broad Street,Wellsville,NY,14895,Allegany,Western New York,Advocacy/Support Services,Support,Self-Help,45 North Broad Street Wellsville Allegany NY US 14895,42.1217006,-77.9450235
Allegany Rehabilitation Associates Inc.,ARA PROS,Adults,(585)593-5700,(585)593-1655,4222 Bolivar Road,Wellsville,NY,14895-9332,Allegany,Western New York,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,4222 Bolivar Road Wellsville Allegany NY US 14895-9332,42.1268571,-77.969548
Allegany Rehabilitation Associates Inc.,ARA - Transportation,Not Reported,(585)593-5700,(585)593-1655,4222 Bolivar Road,Wellsville,NY,14895,Allegany,Western New York,Transportation,Support,General Support,4222 Bolivar Road Wellsville Allegany NY US 14895,42.1268571,-77.969548
NYS ARC Allegany County Chapter,Advocacy,Adults,(585)593-5700,(585)593-5700,36 Madison Street,Wellsville,NY,14895,Allegany,Western New York,Advocacy/Support Services,Support,Self-Help,36 Madison Street Wellsville Allegany NY US 14895,42.1223198,-77.9469138
NYS ARC Allegany County Chapter,Assisted Competitive Employment,Adults,(585)593-5700,(585)593-3005,36 Madison Street,Wellsville,NY,14895,Allegany,Western New York,Assisted Competitive Employment,Support,Vocational,36 Madison Street Wellsville Allegany NY US 14895,42.1223198,-77.9469138
NYS ARC Allegany County Chapter,PWI,Adults,(585)593-5700,(585)593-5700,2718 Andover Road,Wellsville,NY,14895,Allegany,Western New York,Transitional Business Model,Support,Vocational,2718 Andover Road Wellsville Allegany NY US 14895,42.124036,-77.927853
NYS ARC Allegany County Chapter,Supported Work,Adults,(585)593-5700,(585)593-5700,36 Madison Street,Wellsville,NY,14895,Allegany,Western New York,Ongoing Integrated Supported Employment Services,Support,Vocational,36 Madison Street Wellsville Allegany NY US 14895,42.1223198,-77.9469138
Argus Community Inc.,Argus Community Prometheus Program,Adults,(718)401-5700,(718)993-2376,402 East 156th Street,Bronx,NY,10455-1232,Bronx,New York City,Continuing Day Treatment,Outpatient,Continuing Day Treatment,402 East 156th Street Bronx Bronx NY US 10455-1232,40.8206752,-73.9153594
Association to Benefit Children,Fast Break - The Bronx,Children Adolescents,(212)845-3821,(646)459-6161,1366 Inwood Avenue,Bronx,NY,10452-3203,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1366 Inwood Avenue Bronx Bronx NY US 10452-3203,40.8399802,-73.9192171
Astor Services for Children & Families,Astor at Highbridge Clinic,Children Adolescents,(845)871-1000,(718)732-7080,1419 Shakespeare Avenue,Bronx,NY,10452-1851,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1419 Shakespeare Avenue Bronx Bronx NY US 10452-1851,40.84253325,-73.921238388215
Astor Services for Children & Families,Astor Clinic Treatment Program - Tilden,Children Adolescents,(845)871-1000,(718)231-3400,750 Tilden Street,Bronx,NY,10467-6013,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,750 Tilden Street Bronx Bronx NY US 10467-6013,40.8766804,-73.8627713237211
Astor Services for Children & Families,Astor Day Treatment Program - E. Tremont/P352,Children Adolescents,(845)871-1000,(718)324-7526,516 East Tremont Avenue,Bronx,NY,10457-4514,Bronx,New York City,Day Treatment,Outpatient,Day Treatment,516 East Tremont Avenue Bronx Bronx NY US 10457-4514,40.8466276326531,-73.8964517959184
Astor Services for Children & Families,Astor - Non-Medicaid CC,Children Adolescents,(845)871-1000,(718)231-3400,1391 Nelson Avenue,Bronx,NY,10452,Bronx,New York City,Non-Medicaid Care Coordination,Support,Care Coordination,1391 Nelson Avenue Bronx Bronx NY US 10452,40.8417055,-73.9226608
Astor Services for Children & Families,Health Home Non Medicaid Care Management C&Y,Children Adolescents,(845)871-1000,(845)616-5289,13 Mt. Carmel Place,Poughkeepsie,NY,12601,Bronx,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,13 Mt. Carmel Place Poughkeepsie Bronx NY US 12601,41.708927,-73.93552
Astor Services for Children & Families,Lawrence F. Hickey Center,Children,(845)871-1000,(718)515-3000,4010 Dyre Avenue,Bronx,NY,10466-2510,Bronx,New York City,Day Treatment,Outpatient,Day Treatment,4010 Dyre Avenue Bronx Bronx NY US 10466-2510,40.8909457,-73.8307299916346
Astor Services for Children & Families,State Plan Ammendment Services Bronx Pilot Program,Children Adolescents,(845)871-1000,(718)231-3400,750 Tilden Street,Bronx,NY,10467,Bronx,New York City,Advocacy/Support Services,Support,Self-Help,750 Tilden Street Bronx Bronx NY US 10467,40.8766804,-73.8627713237211
Bronx Addiction Svcs Integrated Concepts Syst,BASICS Esperanza/Hope PROS,Adults,(718)861-5650,(646)224-9300,915 Westchester Avenue,Bronx,NY,10456-6704,Bronx,New York City,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,915 Westchester Avenue Bronx Bronx NY US 10456-6704,40.8216148,-73.8983757780201
Brightpoint Health,Brightpoint Health Bronx Health Center,Adults,(718)681-8700,(855)681-8700x2185,1543-1545 Inwood Avenue,Bronx,NY,10452-2001,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1543-1545 Inwood Avenue Bronx Bronx NY US 10452-2001,40.84397,-73.916574
Brightpoint Health,Brightpoint Health Westchester Square Clinic,Children Adolescents Adults,(718)681-8700,(855)681-8700,2510 Westchester Avenue,Bronx,NY,10461-3585,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,2510 Westchester Avenue Bronx Bronx NY US 10461-3585,40.8386095510204,-73.8443457959184
Brightpoint Health,The Hub Health Center,Children Adolescents Adults,(718)681-8700,(646)545-5699,459 East 149th Street,Bronx,NY,10455-1314,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,459 East 149th Street Bronx Bronx NY US 10455-1314,40.8152756,-73.9153259
BronxCare Health System,BronxCare Child Study Center,Children Adolescents,(718)466-6022,(718)901-6800,400-406 East 176th Street,Bronx,NY,10457-6003,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,400-406 East 176th Street Bronx Bronx NY US 10457-6003,40.846739,-73.901306
BronxCare Health System,BronxCare Comprehensive Psychiatric Emergency Program (CPEP),Children Adolescents Adults,(718)466-6022,(718)901-8222,1265 Franklin Avenue,Bronx,NY,10456,Bronx,New York City,CPEP Crisis Intervention,Emergency,Comprehensive Psychiatric Emergency Program,1265 Franklin Avenue Bronx Bronx NY US 10456,40.831306,-73.9028319
BronxCare Health System,BronxCare Inpatient Psychiatric Unit,Children Adolescents Adults,(718)466-6022,(718)901-8826,1265 Franklin Avenue,Bronx,NY,10456-3501,Bronx,New York City,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,1265 Franklin Avenue Bronx Bronx NY US 10456-3501,40.831306,-73.9028319
BronxCare Health System,BronxCare Psychiatric Adult Outpatient Practice 1,Adults,(718)466-6022,(718)590-5037,1276 Fulton Avenue,Bronx,NY,10456-3402,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1276 Fulton Avenue Bronx Bronx NY US 10456-3402,40.8314156,-73.9031728790696
BronxCare Health System,BronxCare Psychiatric Adult Outpatient Practice 2,Adults,(718)466-6022,(718)579-7333,401 E. 167th Street,Bronx,NY,10456-4037,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,401 E. 167th Street Bronx Bronx NY US 10456-4037,40.8307062,-73.9101149
BronxCare Health System,Bronx-Lebanon Hospital Center - HH CM,Adults,(718)466-6022,(718)466-6022,1276 Fulton Avenue,Bronx,NY,10456,Bronx,New York City,Health Home Care Management,Support,Care Coordination,1276 Fulton Avenue Bronx Bronx NY US 10456,40.8314156,-73.9031728790696
BronxCare Health System,Bronx-Lebanon Hospital Center -  HH Non - Medicaid CM,Adults,(718)466-6022,(718)466-6022,1276 Fulton Avenue,Bronx,NY,10456,Bronx,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,1276 Fulton Avenue Bronx Bronx NY US 10456,40.8314156,-73.9031728790696
Bronx Psychiatric Center,ACT Team,Adults,(718)931-0600,(718)944-7115,3050 White Plains Road,Bronx,NY,10467-8124,Bronx,New York City,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,3050 White Plains Road Bronx Bronx NY US 10467-8124,40.8704734,-73.8668342
Bronx Psychiatric Center,Bronx PC - HHCM,Adults,(718)931-0600,(718)944-7115,3050 White Plains Road,Bronx,NY,10467,Bronx,New York City,Health Home Care Management,Support,Care Coordination,3050 White Plains Road Bronx Bronx NY US 10467,40.8704734,-73.8668342
Bronx Psychiatric Center,Mobile Integration Team,Adults,(718)931-0600,(718)944-7115,3050 White Plains Road,Bronx,NY,10467,Bronx,New York City,Mobile Integration Team,Support,General Support,3050 White Plains Road Bronx Bronx NY US 10467,40.8704734,-73.8668342
Bronx Psychiatric Center,Psychiatric Inpatient Unit,Adults,(718)931-0600,Not Reported,1500 Waters Place,Bronx,NY,10461-2796,Bronx,New York City,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,1500 Waters Place Bronx Bronx NY US 10461-2796,40.84753875,-73.839740055938
Bronx Psychiatric Center,Skilled Nursing Facility Enhanced Support Program,Adults,(718)931-0600,(929)348-3324,1500 Waters Place,Bronx,NY,10461,Bronx,New York City,Nursing Home Support,Support,General Support,1500 Waters Place Bronx Bronx NY US 10461,40.84753875,-73.839740055938
Bronx Psychiatric Center,White Plains Road Clinic,Adults,(718)931-0600,(718)944-7115,3050 White Plains Road,Bronx,NY,10467-8124,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,3050 White Plains Road Bronx Bronx NY US 10467-8124,40.8704734,-73.8668342
Center for Urban Community Services Inc.,CUCS ACT Program,Adults,(212)801-3300,(718)519-8326,665 Pelham Parkway North,Bronx,NY,10467,Bronx,New York City,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,665 Pelham Parkway North Bronx Bronx NY US 10467,40.8578241666667,-73.8692147916667
Family Court State of New York,NYS Family Court - Bronx,Children Adolescents Adults,(212)442-4265,(718)590-3416,900 Sheridan Avenue,Bronx,NY,10451,Bronx,New York City,Advocacy/Support Services,Support,Self-Help,900 Sheridan Avenue Bronx Bronx NY US 10451,40.8270318301887,-73.9206766792453
FEDCAP Rehabilitation Services Inc.,FEDCAP Counseling Center,Adults,(212)727-4200,(718)585-4205,1011 Washington Avenue,Bronx,NY,10456,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1011 Washington Avenue Bronx Bronx NY US 10456,40.826212,-73.909837
Fountain House Inc.,Fountain House Bronx Pyschosocial Clubhouse,Adults,(212)582-0340,(718)742-9884,564 Walton Avenue,Bronx,NY,10451,Bronx,New York City,Psychosocial Club,Support,Self-Help,564 Walton Avenue Bronx Bronx NY US 10451,40.81913595,-73.9278929994639
Gateway Counseling Center,Gateway Counseling Center Continuing Day Treatment Program,Adults,(718)325-5021,(718)325-5021,735 East 239th Street,Bronx,NY,10466-1231,Bronx,New York City,Continuing Day Treatment,Outpatient,Continuing Day Treatment,735 East 239th Street Bronx Bronx NY US 10466-1231,40.89957985,-73.8515601307834
Goodwill Industries of Greater New York Inc.,BX Assisted Competitve Employment,Adults,(718)728-5400,(718)401-2555,384 E. 149th Street,Bronx,NY,10455,Bronx,New York City,Assisted Competitive Employment,Support,Vocational,384 E. 149th Street Bronx Bronx NY US 10455,40.8160639,-73.9182468
Goodwill Industries of Greater New York Inc.,Lantern House,Adults,(718)728-5400,(718)993-1078,512 Southern Blvd,Bronx,NY,10455,Bronx,New York City,Psychosocial Club,Support,Self-Help,512 Southern Blvd Bronx Bronx NY US 10455,40.81135675,-73.9047472534796
Institute for Community Living Inc.,ICL Bronx ACT,Adults,(212)385-3030,(917)790-3980,14 Bruckner Boulevard,Bronx,NY,10454-4414,Bronx,New York City,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,14 Bruckner Boulevard Bronx Bronx NY US 10454-4414,40.8074411,-73.929323
Jewish Association for Services for the Aged,JASA/Geriatric Mental Health Outreach Service,Adults,(212)273-5200,(718)365-4044,1 Fordham Plaza,Bronx,NY,10458-5890,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,1 Fordham Plaza Bronx Bronx NY US 10458-5890,40.8606244,-73.8898476
Jewish Board of Family & Children's Services,Adult Health Home Care Coordination,Adults,(212)582-9100,(212)582-9100,2432 Grand Concourse,Bronx,NY,10458,Bronx,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,2432 Grand Concourse Bronx Bronx NY US 10458,40.8606324,-73.8977191
Jewish Board of Family & Children's Services,Consumer Self Help - MICA - Real Recovery,Adults,(212)582-9100,(718)931-4045,55 Westchester Square,Bronx,NY,10461,Bronx,New York City,Self-Help Programs,Support,Self-Help,55 Westchester Square Bronx Bronx NY US 10461,40.8410373,-73.8430773
Jewish Board of Family & Children's Services,Family/Youth Intervention - Bronx,Children Adolescents,(212)582-9100,(718)601-2050,521 W. 239th Street,Bronx,NY,10463,Bronx,New York City,Home Based Crisis Intervention,Emergency,Crisis,521 W. 239th Street Bronx Bronx NY US 10463,40.8896815,-73.9092064558885
Jewish Board of Family & Children's Services,Grand Concourse Counseling Center,Children Adolescents Adults,(212)582-9100,(718)881-7600,2488 Grand Concourse,Bronx,NY,10458-5207,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,2488 Grand Concourse Bronx Bronx NY US 10458-5207,40.8620480625,-73.8970329375
Jewish Board of Family & Children's Services,Henry Ittleson Center RTF,Children,(212)582-9100,(718)549-6700,5050 Iselin Avenue,Bronx,NY,10471-2996,Bronx,New York City,Residential Treatment Facility - Children & Youth,Inpatient,Residential Treatment Facility - Children & Youth,5050 Iselin Avenue Bronx Bronx NY US 10471-2996,40.8993398,-73.9049578634998
Jewish Board of Family & Children's Services,Ittelson Center - CM,Children Adolescents,(212)582-9100,(718)665-8916,5050 Iselin Avenue,Riverdale,NY,10471,Bronx,New York City,Residential Treatment Facility Transition Coordinator - Community,Support,Care Coordination,5050 Iselin Avenue Riverdale Bronx NY US 10471,40.8993398,-73.9049578634998
Jewish Board of Family & Children's Services,JBFCS Bronx R.E.A.L. PROS Program,Adults,(212)582-9100,(718)931-4045,55 Westchester Square,Bronx,NY,10461-3525,Bronx,New York City,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,55 Westchester Square Bronx Bronx NY US 10461-3525,40.8410373,-73.8430773
Jewish Board of Family & Children's Services,JBFCS - HH CM,Adults,(212)582-9100,(718)931-4045,55 Westchester Square,Bronx,NY,10461,Bronx,New York City,Health Home Care Management,Support,Care Coordination,55 Westchester Square Bronx Bronx NY US 10461,40.8410373,-73.8430773
Jewish Board of Family & Children's Services,JBFCS - HH NonMed CM,Adults,(212)582-9100,(718)931-4045,55 Westchester Square,Bronx,NY,10461,Bronx,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,55 Westchester Square Bronx Bronx NY US 10461,40.8410373,-73.8430773
Jewish Board of Family & Children's Services,JBFCS Ittleson Center For Child Research,Children,(212)582-9100,(718)549-6700,5050 Iselin Avenue,Bronx,NY,10471-2915,Bronx,New York City,Day Treatment,Outpatient,Day Treatment,5050 Iselin Avenue Bronx Bronx NY US 10471-2915,40.8993398,-73.9049578634998
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg Bronx Consultation Center,Children Adolescents Adults,(212)582-9100,(718)882-5000,750 Astor Avenue,Bronx,NY,10467-9304,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,750 Astor Avenue Bronx Bronx NY US 10467-9304,40.8594774,-73.8653032
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,Children Adolescents Adults,(212)582-9100,(718)601-2280,521 West 239th Street,Bronx,NY,10463-1205,Bronx,New York City,Clinic Treatment,Outpatient,Clinic Treatment,521 West 239th Street Bronx Bronx NY US 10463-1205,40.8896815,-73.9092064558885
